param,grid,negloglik
beta0,0.05,21363247353161.207
beta0,0.0975,21363247354549.438
beta0,0.14500000000000002,21363247360787.816
beta0,0.1925,21363247353221.086
beta0,0.24,21363247354284.965
beta0,0.2875,21363247355507.168
beta0,0.335,21363247354808.22
beta0,0.3825,21363247356116.402
beta0,0.43,21363248428792.52
beta0,0.4775,21363248282458.793
beta0,0.525,21363248112492.574
beta0,0.5725,21363247938280.695
beta0,0.6200000000000001,21363247353111.535
beta0,0.6675000000000001,21363247383209.72
beta0,0.7150000000000001,21363247355755.363
beta0,0.7625000000000001,21363247354073.156
beta0,0.81,21363247352886.066
beta0,0.8575,21363247352955.016
beta0,0.905,21363247353102.96
beta0,0.9525,21363247353255.48
beta0,1.0,21363247353387.53
